Author,Quote
Steve Blake,"My oldest son always wants to race. He's kind of like me and it now has carried over to the other two. They're all pretty competitive now. We do stuff in the pool. They're like fish in water. They go all over the place. They're kids. They like to play, have fun and compete with everything they do."
Jason Priestley,"I miss my boats, and I miss having the ability to be out on the water during the daytime and then go skiing at night."
Michael Bloomberg,"Trees will improve property values, take pollutants out of the air, help with water runoff."
Cate Blanchett,I think we should stop drinking bottled water. There's no need to be drinking it if you're living in western communities.
Amanda Beard,To look good in the water you have to pick the right swimsuit. I own close to 500.
Brad Delson,"I just did an interview where I was asked whether I drink beer or whisky, and I was sad to reveal that I'm pounding spring water."
Elizabeth Berkley,"I typically enjoy a beautiful beach destination, as I find the water and sand to be the most replenishing."
Carolyn Murphy,"I love physical sunblocks with zinc. When I used to surf, I'd sometimes tuck a bottle of sunscreen into my wet suit sleeve - when you're in the water having a great time, you're not thinking about running out to put on more sunblock."
Jolene Blalock,"I was a good surfer because we grew up a block from the water, and my father took us to the ocean the way other fathers take their kids to the park."
Michael Phelps,"My mom put me and my sisters in the water to feel comfortable, to have water safety."
Ryan Lochte,"I honestly think if I would've tied my suit and there wouldn't have been any water rushing through it, I think I could've gone at least a second faster."
Kelly Rowland,The only thing I really love is Fiji water. That's like the only crazy request - I don't like any other water.
Brittany Snow,"I got a tattoo saying, 'Freedom From Fear' because of 'Black Water Transit.'"
Stephanie Herseth,"I represent nine sovereign Sioux tribes. In South Dakota, some of the tribes are in the most remote, rural areas of the country. They lack essential infrastructure. Some communities don't even have clean drinking water."
David Blaine,"I thought instead of burying myself under dirt, I'd bury myself under water so everybody could see that you're there."
Chris Tucker,I couldn't imagine not having clean water.
David Walliams,"Sometimes you meet people who can't swim. And I always think: 'Oh my God, that's extraordinary.' For me, it's always been a treat... I just feel really happy in the water."
Carnie Wilson,"When my work gets crazy, I make sure to always have vitamins, water and proper food with me. That has helped me to lose 33 pounds."
Lorraine Bracco,I was so busy fighting and so busy trying to keep everything above water that I didn't realize I was spiraling downward with nowhere to go.
